SiteID,Year,Chla_C_Avg_mgM2,Chla_NP_Avg_mgM2,Chla_N_Avg_mgM2,Chla_P_Avg_mgM2,NRR,PRR
10118,2014,17.6915384908973,43.991603373917,27.4523873134613,25.2155261249571,1.15292496893946,1.12334242291968
10231,2014,29.4181138124499,82.4249456127629,88.7966108163811,18.7082935765811,1.32668985656375,0.866145537782936
10232,2014,28.6047097439029,61.140872485783,62.5643296057403,17.6237548185184,1.23337028845952,0.855579730368008
10240,2014,15.7935956642876,66.7126903553299,72.0540437387886,12.201061028205,1.55001066772035,0.906478772305857
10267A,2014,7.38842028930194,40.9413381168658,56.3960154192588,6.37166520361818,2.01628600560026,0.925970264847454
10268B,2014,13.895652837678,80.9337048204267,62.2931949162246,13.014465096752,1.57010556303368,0.975104421847542
10283,2014,38.1848021067898,66.9928628678295,60.4121980077096,20.0639670241594,1.12594682590108,0.82332928162548
10322,2014,34.4341055684898,64.7334071218656,66.7669172932331,18.77607724896,1.18710124431566,0.82863639469016
10324,2014,31.1804892943018,152.089614900195,171.718636693256,19.9961833517805,1.49597896393777,0.87084944051098
10329,2014,41.3819319873287,56.5315827640166,58.0228235563528,34.5018892408687,1.09078866852709,0.95115823832258
10767B,2014,12.3027365367734,151.665966947826,89.9489332468226,11.7604671577421,1.79265406165648,0.982039340103945
10769,2014,31.0110301133545,38.1283157131407,33.8918361894584,15.7032174344491,1.02586556292312,0.801860985502412
10814,2013,55.4131521697645,68.8682111369795,75.7143620472501,49.8887828708828,1.07774972026863,0.973841700669315
10815,2013,21.0807221098431,24.7410404183046,32.2650280523644,7.99847334071219,1.13962428474343,0.682088528791288
10818,2013,8.54074271974352,11.7265753215526,13.1500324415099,5.2193427731766,1.20121531103147,0.770390959558736
120,2013,89.4744475401702,168.781344223503,129.466814243731,58.6328766077631,1.08221525652458,0.905949728241447
12554A,2013,31.6888668371436,208.434792565169,80.5495973436128,64.394488759971,1.26994127062607,1.20517063993824
12554B,2013,23.8598526773787,31.4516239838174,20.402885386054,23.0464486088317,0.950658518717726,0.989065762517359
12555,2013,7.21896110835464,52.3967787489027,24.7749322544941,19.5555894813175,1.62382475827903,1.50414556033393
12783B,2013,23.2497996259685,47.4485706652418,31.8583260180909,20.8095874203275,1.10011842372793,0.964757708278966
12786B,2013,8.4729590473646,31.7227586733331,28.7402770886607,6.0327468417236,1.57159027648794,0.841040489525398
12805B,2013,246.732567459257,236.395557421473,208.773710927064,116.248998129842,0.969672325000604,0.863375285625725
12809,2013,47.6519216823786,181.321323613603,104.217396282585,51.2614022365559,1.20252891071965,1.01889662871657
12811,2013,52.4306705850922,157.597038280982,116.113430785085,36.1286973779627,1.20080249718936,0.905946452064946
12815,2013,37.5521544979199,106.928743177741,78.7985191404908,30.5026525705126,1.2044176749836,0.94265511751213
12940,2013,62.4287622609824,117.265753215526,124.213579634365,32.4005953971222,1.16641801004391,0.841353371399354
12946,2013,6.16831418648143,71.1050723254838,61.8864928819511,8.0662570130911,2.26736504540694,1.14744433108975
138A,2014,10.3370100377848,31.6888668371436,44.1610625548643,3.66031830846151,1.62169531091237,0.555522147271106
5574,2012,14990.1376924659,7225.56794666659,13971.2730381595,8166.43601146546,0.992679342674366,0.936833013198464
5577,2012,7340.8113668262,11985.9929964018,10957.8554614569,7127.81958477589,1.04500595496081,0.996692133365703
5580,2012,3034.41467292595,5118.93536351713,3748.31513355799,1331.60171949519,1.02635243884143,0.897273726251652
9240,2014,10.1675508568375,16.6069997328346,25.6900118316095,12.7433304072364,1.39966383544676,1.09736397734203
9245,2014,54.7014236097859,15.1835426128774,21.216289454601,9.55749780542727,0.763331690656295,0.564065005916062
9274,2014,30.2767069959162,69.9866417312316,120.587153162093,12.1163314377314,1.40523185744554,0.731459608715735
9372,2014,37.4504789893516,40.1618258845082,42.7037135987176,21.5778023739552,1.03623121156103,0.847819096314088
9717,2014,57.0060684706691,181.321323613603,175.2207930995,18.1999160337392,1.27772577844087,0.717611623577708
9853,2014,18.1321323613603,120.316018472577,128.788977519942,6.4394488759971,1.67657083865139,0.642734649000108
9862,2014,32.3667035609328,71.6247471470555,72.1218274111675,16.6069997328346,1.23042752436232,0.808087156388955
