"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",3.57728992788057,0.413574890380261,11.1002944627172,8.64967871862684,2.89780303444129e-06
"SiteTypeUpstream",1.15688745036666,0.334026407312395,14.4172115169589,3.46346104691265,0.00365765785388953
"SiteTypeDownstream",1.67578289762729,0.357690514536415,14.3839314251905,4.68500793150522,0.00032704553694813
"TreatmentN",1.22420977123783,0.157422486982932,247.001693761389,7.77658766990867,2.0179556363499e-13
"TreatmentP",0.031843589052394,0.157422486982932,247.001693761389,0.20228106964062,0.839863507846803
"TreatmentNP",1.4715185429644,0.157422486982932,247.001693761389,9.34757524904268,5.57968035097566e-18
"Slope_AvgBasinwide_pct",-0.0342088269153587,0.0088619642752322,9.93489247223402,-3.86018560365527,0.00319774655298187
"SiteTypeUpstream:TreatmentN",-0.800921656402664,0.226268460347188,247.04402870694,-3.53969640830067,0.000478546209683511
"SiteTypeDownstream:TreatmentN",-1.01083734757457,0.237921683770551,247.018276234872,-4.24861379406431,3.04961889293336e-05
"SiteTypeUpstream:TreatmentP",-0.463375158716297,0.229938554085854,247.440490616588,-2.01521297965231,0.0449637858656098
"SiteTypeDownstream:TreatmentP",-0.381008250339831,0.237921683770552,247.018276234872,-1.60140195841616,0.110565955465446
"SiteTypeUpstream:TreatmentNP",-0.565092130186929,0.226268460347188,247.044028706944,-2.49744100136558,0.0131609367871824
"SiteTypeDownstream:TreatmentNP",-1.16994132806706,0.237921683770551,247.018276234872,-4.91733796401396,1.60123001419314e-06
