Year,StreamID,SiteID,SiteType,Lat,Long,N
2012,Boulder Creek,5574,,40.049793,-105.145877,20
2012,Boulder Creek,5577,,40.027139,-105.224334,20
2012,Boulder Creek,5580,,39.980605,-105.454816,20
2013,Gore Creek,12554A,Upstream,39.64097,-106.39436,11
2013,Gore Creek,12554B,Downstream,39.640194,-106.399546,20
2013,Gore Creek,12555,Undisturbed,39.64167,-106.30667,20
2013,Michigan River,120,Upstream,40.74101,-106.28196,20
2013,Michigan River,12940,Downstream,40.745373,-106.29673,20
2013,Michigan River,12946,Undisturbed,40.55343,-106.04337,20
2013,Roaring Fork River,12783B,Upstream,39.21797,-106.854638,20
2013,Roaring Fork River,12786B,Undisturbed,39.1482,-106.7828,20
2013,San Miguel River,10814,Downstream,37.948209,-107.877067,19
2013,San Miguel River,10815,Upstream,37.94972,-107.86861,20
2013,San Miguel River,10818,Undisturbed,37.93111,-107.77889,20
2013,Yampa River,12805B,Downstream,40.491508,-106.94801,20
2013,Yampa River,12809,,40.26933,-106.88116,17
2013,Yampa River,12811,Upstream,40.39889,-106.83417,20
2013,Yampa River,12815,Undisturbed,40.183,-106.91533,20
2014,Blue Creek,10231,,38.405278,-107.408333,20
2014,Cebolla Creek,10283,,38.106759,-107.034974,15
2014,Cochetopa Creek,10322,,38.43725,-106.7625,20
2014,Cochetopa Creek,10324,,38.22389,-106.743961,13
2014,East River,10118,,38.963317,-106.994384,20
2014,First Fork,9240,,37.35503,-107.325398,20
2014,Fish Creek,10769,,37.7463,-108.2362,8
2014,Florida River,138A,,37.4277,-107.6752,15
2014,Lake Fork Gunnison River,10240,,38.351807,-107.236365,20
2014,Mancos River,9717,,37.304149,-108.357838,40
2014,Mill Creek,10267A,,38.695605,-107.0714,20
2014,Navajo River,9853,,37.060503,-106.693152,8
2014,Ohio Creek,10268B,,38.795644,-107.087673,20
2014,Pine Creek,10232,,38.44651,-107.344228,20
2014,Rio Blanco River,9862,,37.143698,-106.885506,16
2014,Roaring Forks Creek,10767B,,37.598635,-108.112647,19
2014,Stewart Creek,10329,,38.023889,-106.841944,20
2014,Stollsteimer Creek,9245,,37.172523,-107.295287,20
2014,Vallecito Creek,9372,,37.473985,-107.546542,10
2014,Williams Creek,9274,,37.455877,-107.198972,14
